age,average.intercept,average.rsquared,average.slope,pid,removed_elecs,sex
18,-23.780002588942168,0.7816353261866605,-0.035468641105285616,CC110037,9,1
24,-23.68855216345308,0.719767323577068,-0.035087411764330806,CC110045,7,1
22,-24.000986264825713,0.48580798397613434,-0.023486531811935465,CC110056,11,1
28,-23.991954419059844,0.5807992654300939,-0.028537556207429645,CC110069,15,1
28,-23.916220520277665,0.69939714681541,-0.03262785976030521,CC110087,12,1
22,-24.041558930185907,0.4731633275292499,-0.026575563297723977,CC110126,20,1
25,-23.904768479578724,0.5375825161977059,-0.020850936653925754,CC110174,8,1
25,-24.105865686469276,0.6209371922329592,-0.027947013212899233,CC110187,13,1
25,-24.249275300583378,0.7898288588330592,-0.033690410891048704,CC110411,8,1
20,-24.107700024243197,0.7560821198996526,-0.0312453581900925,CC110606,15,1
26,-23.818889894586555,0.5726050214268844,-0.02618470525019112,CC120008,8,1
28,-24.02464895640284,0.62896070509034,-0.032407171315899194,CC120049,9,1
19,-24.025992557992524,0.7018951939958719,-0.027204663592269175,CC120061,9,1
18,-23.531824148120627,0.6207142511432384,-0.03422688101693183,CC120137,10,1
28,-23.543431255596964,0.7814235956764141,-0.03637009860571249,CC120166,11,1
26,-23.844500120304915,0.5729312926196943,-0.02761900514903048,CC120182,4,1
24,-24.112710951836753,0.5358105602507321,-0.019917982283027536,CC120208,16,1
20,-23.615677999246913,0.28473851923698545,-0.013552519617918103,CC120212,25,1
27,-24.032938626042903,0.5357087094059553,-0.021158430311188674,CC120218,12,1
23,-24.179095765399065,0.740397424561168,-0.0270804826739783,CC120276,7,1
27,-23.909587372701466,0.43692227414723833,-0.018289243127293454,CC120309,25,1
18,-24.02058377717896,0.38279996095535335,-0.01395466417668714,CC120376,60,1
18,-23.921132788656013,0.4914920386606459,-0.02422735852938457,CC120462,14,1
25,-23.982941097098752,0.4694345085715001,-0.018405194654744602,CC120469,7,1
28,-23.716708422161716,0.7412367816705304,-0.043825185864087415,CC120470,1,1
23,-23.44733922729029,0.87513971997793,-0.05738901014800223,CC120727,4,1
28,-24.06939698090612,0.7054023897396567,-0.031542584375978705,CC121106,8,1
18,-23.54684484747255,0.7209340335123465,-0.037397281022779776,CC121111,4,1
26,-24.05368060390908,0.3591348934404064,-0.015024614323017604,CC121144,45,1
26,-23.847777245386826,0.6468137649186725,-0.03028751217490233,CC121200,9,1
26,-24.09536947470144,0.5382759203471943,-0.01990074619939308,CC121411,15,1
26,-23.907225115061298,0.22077781335071456,-0.011273017002006181,CC121479,75,1
25,-24.100621808346144,0.3772389759792298,-0.017024296302119473,CC121795,37,1
23,-24.246697897788366,0.3991790623476341,-0.01638733722978193,CC122016,28,1
27,-23.491839970693512,0.8934289413456704,-0.05216955039005471,CC122172,4,1
27,-23.761029872715213,0.6457319407093737,-0.02607263045136048,CC122405,12,1
24,-24.30294112300228,0.38888325983815936,-0.014965065249735081,CC122620,30,1
31,-23.594625308757124,0.5844487988831126,-0.027161748966906124,CC210023,14,1
35,-23.991383093011194,0.5625930552069804,-0.024219185846678856,CC210051,12,1
35,-24.29055274354832,0.23332701905598252,-0.012826288648233965,CC210124,81,1
31,-24.01748167734055,0.6901352562120489,-0.031020570979143035,CC210182,7,1
29,-23.94161670741405,0.8064493362824058,-0.030843603149276685,CC210250,6,1
34,-24.027229328152917,0.6393493118519615,-0.028940350048177174,CC210314,4,1
34,-24.078091242202177,0.5664043985848338,-0.020257610021091145,CC210422,12,1
29,-23.602379536626184,0.6820252848779745,-0.03224122728856984,CC210519,4,1
32,-24.132812985751954,0.6531548747764889,-0.027412808201146197,CC220098,14,1
29,-24.239657630026237,0.36804682501231234,-0.016236789043955587,CC220115,43,1
31,-24.09584320064504,0.7639071780983716,-0.03473457899038177,CC220132,8,1
37,-24.15964986230499,0.7221325780198717,-0.029257160306622492,CC220198,8,1
34,-24.2475560413529,0.5406689926179284,-0.025949604447459838,CC220203,10,1
33,-23.892953591790896,0.6972749978359966,-0.026930682862928698,CC220323,1,1
34,-23.558483626100152,0.6993456879113539,-0.03804510649574967,CC220335,8,1
29,-24.252640827286744,0.5885457171316641,-0.025640403807428234,CC220352,7,1
37,-23.923385182704475,0.39291360409981685,-0.016855757186626685,CC220372,12,1
35,-24.00212730550827,0.72996981198812,-0.03300696330720905,CC220506,10,1
32,-24.04843116270164,0.4844390930500566,-0.024026206855595336,CC220511,22,1
30,-24.102714803573352,0.5638675013617459,-0.025826861130856242,CC220518,9,1
29,-24.148486063746713,0.3938453405934104,-0.0163352391229591,CC220519,12,1
32,-23.886392840375226,0.7616315287834633,-0.03286823260340036,CC220610,11,1
36,-23.997087078164856,0.7606301623889884,-0.03427737308477458,CC220635,9,1
33,-23.63052394568587,0.8095906074052063,-0.04803388936577694,CC220713,1,1
37,-24.311479154088637,0.14845234807549354,-0.008333638986402245,CC220999,171,1
38,-23.973428827888654,0.7124433941932097,-0.0265714553680494,CC221031,11,1
28,-23.903348849773987,0.6938788443394129,-0.03025182439311357,CC221033,12,1
36,-24.123299859147,0.6226343105200278,-0.025728106248878013,CC221040,3,1
29,-23.92342956459724,0.6039444762356779,-0.024623472234550203,CC221209,6,1
32,-23.906929618348748,0.7319535398743553,-0.030321027878594926,CC221244,6,1
36,-24.08487567837314,0.5791561678097042,-0.021353883278011753,CC221324,9,1
34,-23.95837314396054,0.5752630225310775,-0.026212519343862085,CC221336,12,1
37,-24.079274405934264,0.7630516924206141,-0.02920753742992169,CC221352,14,1
29,-24.180169117681988,0.6109475051579942,-0.02563897117684905,CC221373,9,1
36,-24.138933331541644,0.6582152466181935,-0.027308857993863487,CC221511,11,1
34,-24.235488407040062,0.5510447915638285,-0.02057871672451323,CC221527,23,1
32,-24.121408291274303,0.6273116798780817,-0.02513385138673726,CC221565,9,1
33,-23.792505594852862,0.6058763214801584,-0.02790271210743046,CC221595,13,1
30,-24.05791308607049,0.6190311358712566,-0.022382503530299903,CC221648,12,1
34,-24.15195629098851,0.5422645107712322,-0.026159696883132952,CC221737,25,1
35,-23.82041085655127,0.7455648984902026,-0.030633484270591493,CC221740,6,1
32,-23.975491410668354,0.7027482388272547,-0.032405202782103966,CC221775,8,1
32,-23.58713733923123,0.7010013745057594,-0.031547155791628714,CC221828,4,1
37,-23.88535513925339,0.4407018403816835,-0.01870873908229898,CC221935,29,1
32,-23.787814253331142,0.7840068418332781,-0.041167896642228384,CC221954,10,1
